ProgramSiteID,SiteName,WatershedID,WatershedName,SampleDate,HitchName,CrewName,VisitYear,IterationID,CategoryName,PanelName,VisitID,VisitDate,ProtocolID,ProgramID,AEM,Bug Validation,CHaMP 10% Revisit,CHaMP Core,CHaMP-PiBO Comparison,Effectiveness,Has Fish Data,IMW,Remove,Velocity Validation,Primary Visit,QC Visit,Error,No,Yes,MeasurementID,Notes,DataUpdateNotes,PercentFlow,ChannelUnitID,ChannelUnit_ChannelUnitNumber,InQualifyingSideChannel,SideChannelPresent,SideChannelLength,SideChannelWidth,SideChannelGreaterThanSiteLength
69679,LEM00002-LittleSprings1,20,Lemhi,9/26/2012,Lemhi Opportunistic Sites,Geoff Crew,2012,2,Lemhi IMW,Annual,1129,9/26/2012,806,1,,,,,,Yes,,Yes,,,Yes,,,,Yes,183990100,,,,27,27,FALSE,FALSE,,,Good
69679,LEM00002-LittleSprings1,20,Lemhi,9/26/2012,Lemhi Opportunistic Sites,Geoff Crew,2012,2,Lemhi IMW,Annual,1129,9/26/2012,806,1,,,,,,Yes,,Yes,,,Yes,,,,Yes,183990101,,,,26,26,FALSE,FALSE,,,Good
69679,LEM00002-LittleSprings1,20,Lemhi,9/26/2012,Lemhi Opportunistic Sites,Geoff Crew,2012,2,Lemhi IMW,Annual,1129,9/26/2012,806,1,,,,,,Yes,,Yes,,,Yes,,,,Yes,183990102,,,,25,25,FALSE,FALSE,,,Good
69679,LEM00002-LittleSprings1,20,Lemhi,9/26/2012,Lemhi Opportunistic Sites,Geoff Crew,2012,2,Lemhi IMW,Annual,1129,9/26/2012,806,1,,,,,,Yes,,Yes,,,Yes,,,,Yes,183990103,,,,24,24,FALSE,FALSE,,,Good
69679,LEM00002-LittleSprings1,20,Lemhi,9/26/2012,Lemhi Opportunistic Sites,Geoff Crew,2012,2,Lemhi IMW,Annual,1129,9/26/2012,806,1,,,,,,Yes,,Yes,,,Yes,,,,Yes,183990104,,,,23,23,FALSE,FALSE,,,Good
69679,LEM00002-LittleSprings1,20,Lemhi,9/26/2012,Lemhi Opportunistic Sites,Geoff Crew,2012,2,Lemhi IMW,Annual,1129,9/26/2012,806,1,,,,,,Yes,,Yes,,,Yes,,,,Yes,183990105,,,,22,22,FALSE,FALSE,,,Good
69679,LEM00002-LittleSprings1,20,Lemhi,9/26/2012,Lemhi Opportunistic Sites,Geoff Crew,2012,2,Lemhi IMW,Annual,1129,9/26/2012,806,1,,,,,,Yes,,Yes,,,Yes,,,,Yes,183990106,,,,21,21,FALSE,FALSE,,,Good
69679,LEM00002-LittleSprings1,20,Lemhi,9/26/2012,Lemhi Opportunistic Sites,Geoff Crew,2012,2,Lemhi IMW,Annual,1129,9/26/2012,806,1,,,,,,Yes,,Yes,,,Yes,,,,Yes,183990107,,,,20,20,FALSE,FALSE,,,Good
69679,LEM00002-LittleSprings1,20,Lemhi,9/26/2012,Lemhi Opportunistic Sites,Geoff Crew,2012,2,Lemhi IMW,Annual,1129,9/26/2012,806,1,,,,,,Yes,,Yes,,,Yes,,,,Yes,183990108,,,,19,19,FALSE,FALSE,,,Good
69679,LEM00002-LittleSprings1,20,Lemhi,9/26/2012,Lemhi Opportunistic Sites,Geoff Crew,2012,2,Lemhi IMW,Annual,1129,9/26/2012,806,1,,,,,,Yes,,Yes,,,Yes,,,,Yes,183990109,,,,18,18,FALSE,FALSE,,,Good
