ObjectID,GlobalID,Length (m),Width (m),Height (m),Estimated Number of Pieces,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,f173008e-7dae-42df-acf5-ba2824e7fa89,6,4,2,7,d509beae-7796-4678-89ed-8f95a502eeaf,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
2,075b9dfc-f9ef-4521-96f6-b8335be8190b,6,5,0.75,6,6e9543a4-a44d-4da1-a59a-330425837654,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
3,a83a2fc1-6d45-42c4-b818-ee811797a003,7,6,0.75,5,fa30357e-86be-4a04-a5ab-f2638d9a656c,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
4,cd3b8f77-1e88-45ce-a2e8-a5bbaf304e1f,7,6,0.75,6,3bf13357-7b00-45c2-bf54-fae1bab7136a,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
5,5cf92d29-04fa-4f9e-b438-a59171bb2c8a,6,3,1,5,c6f9ddec-2bb6-4cb0-a7d3-799f1cb46d6f,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
6,dc6499d7-be13-49bb-be7d-dca075a690ab,8,2,0.75,6,84004525-d0ee-470f-bfcc-85d76403f164,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
7,e8c5580c-fec9-4fce-a9aa-1f258d5857ce,3,3,1.5,5,d4353580-c85e-45ee-bf2c-f4182c86228d,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
8,0e6e8328-d93a-45b8-b569-913b101ef31e,4.5,3,1,7,bb3f3d55-27d6-46d8-9c85-c1782edad45c,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
9,104ea280-d2a9-4194-99c8-d585c8ba0be6,5,3,1,6,f360b794-0366-475d-b596-00c0457f1145,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
10,5f27638b-8fde-4cee-9edc-b16f4e4f5fef,5,5,2.6,6,7be88629-ea91-4c26-b793-0d68d28cd175,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
