ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,e38b151b-6a48-4841-9afe-45841b01b18c,Pool,1,1,0.14,,,,10,,90,40,50,10,,,,,,,,,,,,,0.5,,,,,,28704a9c-a70a-4bbd-8fd0-09ba176ce1a5,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
2,fa2c303b-9c64-487f-a535-c38cc8a0ad1f,Riffle,2,1,0.14,,10,,20,,70,,,,,9.65,77,54.5,19.3,77,27.3,54.5,19.3,6.85,9.65,1.03,0.18,,,,,,28704a9c-a70a-4bbd-8fd0-09ba176ce1a5,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
3,d509beae-7796-4678-89ed-8f95a502eeaf,Pool,3,1,0.14,,10,,50,,50,50,40,10,,,,,,,,,,,,,0.5,,,,,,28704a9c-a70a-4bbd-8fd0-09ba176ce1a5,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
4,63084c71-2b2c-40d9-acb6-2d86b9193ae7,Riffle,4,1,0.22,,10,,10,,80,,,,,109,13.65,54.5,54.5,54.5,77,27.3,54.5,38.5,54.5,3,0.38,,,,,,28704a9c-a70a-4bbd-8fd0-09ba176ce1a5,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
5,9cf449c1-a765-4b06-baec-509892896f31,Pool,5,1,0.21,,,,20,,80,30,40,30,,,,,,,,,,,,,0.32,,,,,,28704a9c-a70a-4bbd-8fd0-09ba176ce1a5,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
6,80e5f5ef-1363-4765-bdee-f87ad9ff32ef,Riffle,6,2,0.12,,,,40,,60,,,,,3,54.5,19.3,109,38.5,19.3,109,38.5,54.5,54.5,38.5,0.26,,,,,,28704a9c-a70a-4bbd-8fd0-09ba176ce1a5,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
7,f6352bac-8fa0-44b6-8f68-fca341907c80,Riffle,7,1,0.11,,,,20,,80,,,,,54.5,154,54.5,109,38.5,77,54.5,54.5,54.5,54.5,1.03,0.12,,,,,,28704a9c-a70a-4bbd-8fd0-09ba176ce1a5,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
8,6e9543a4-a44d-4da1-a59a-330425837654,Pool,8,1,0.1,,,,80,,20,30,30,40,,,,,,,,,,,,,0.4,,,,,,28704a9c-a70a-4bbd-8fd0-09ba176ce1a5,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
9,3d23ed3c-3b8b-49cd-af02-98de92b52739,Riffle,9,1,0.18,,,,,,100,,,,,19.3,13.65,54.5,54.5,54.5,77,109,54.5,54.5,3,3,0.2,,,,,,28704a9c-a70a-4bbd-8fd0-09ba176ce1a5,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
10,4fe79323-19df-4e4f-b222-86b92b116dc4,Pool,10,1,0.2,,10,,10,,80,20,30,50,,,,,,,,,,,,,0.4,,,,,,28704a9c-a70a-4bbd-8fd0-09ba176ce1a5,8/27/2019 21:42,richie@qcinc.org,8/27/2019 21:42,richie@qcinc.org
