ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,3d4a8eeb-d1eb-4d97-944c-085a7fcf129f,Riffle,1,1,0.61,,,,,100,,,,,0.06,3,9.65,1.03,9.65,13.65,38.5,38.5,38.5,9.65,4.85,0.61,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
2,65edf0af-32d3-42a2-a206-e8d9f2f3b7dd,Pool,2,1,0.52,0.2,,,,0.8,70,30,,,,,,,,,,,,,,0.82,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
3,3e7bd3ab-1d24-430c-9f78-f77b3d57fb9f,Pool,3,1,0.42,0.1,,0.4,,0.5,50,50,,,,,,,,,,,,,,0.72,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
4,c1ac043e-0851-4276-bac6-c567f6cc6223,Riffle,4,1,0.38,,,0.3,,0.7,,,,,0.06,27.3,1.03,27.3,19.3,19.3,27.3,19.3,27.3,6.85,19.3,0.56,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
5,88c2d9a4-d23b-474d-9781-235daab08276,OCA,5,1,0.46,,,,,100,30,60,10,,,,,,,,,,,,,0.66,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
6,3533fcd1-1be5-4d41-80b1-bb39fb610df0,Run,6,1,0.33,,,0.2,,0.8,60,40,,,,,,,,,,,,,,0.45,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
7,bffcfb32-8458-4f93-bc6b-7482edede34b,Pool,7,1,0.43,0.3,,0.3,,0.5,50,50,,,,,,,,,,,,,,0.66,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
8,5d927e21-682c-4641-bd70-92b89a0a7d25,Pool,8,1,0.48,0.2,,0.3,,0.6,40,60,,,,,,,,,,,,,,0.7,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
11,188d9a55-d05b-4615-9b76-4e8731835d51,Run,9,1,0.52,0.3,,,,0.7,30,70,,,,,,,,,,,,,,0.66,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
10,d124a0d9-201b-4546-9046-348efbc8b6bf,OCA,10,1,0.19,,,,,100,100,,,,,,,,,,,,,,,0.32,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
12,4d4ee89e-a03a-4e25-ab37-0dcc84e5fdf2,Pool,11,1,0.43,0.4,,,,0.6,50,50,,,,,,,,,,,,,,0.58,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
9,27b84f5e-4895-490b-84a0-7146ba418388,Riffle,12,1,,0.1,,,,0.9,30,60,10,,9.65,27.3,4.85,9.65,38.5,13.65,13.65,27.3,6.85,3,1.03,0.68,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
13,688855a5-9dd8-4388-9683-9f5a4b65c011,OCA,13,1,0.36,,,,,100,90,10,,,,,,,,,,,,,,0.36,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
14,ce027aea-3737-439e-9694-e994be294db4,Pool,14,1,0.46,0.1,,0.3,,0.7,60,40,,,,,,,,,,,,,,1.26,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
15,b35662c9-5d34-41b3-a7f1-7f22f73be292,Riffle,15,1,0.36,0.2,,0.3,,0.6,,,,,0.06,0.06,9.65,13.65,27.3,27.3,27.3,4.85,3,1.03,0.06,0.54,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
16,e0c47ccc-0dfb-4fa2-aad0-e81e761a48fe,OCA,16,1,0.27,0.1,,0.1,,0.8,100,,,,,,,,,,,,,,,0.27,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
