ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,e6ccc539-a95c-4923-b6d4-b5d258800fae,Riffle,1,1,0.3,,10,,,,90,,,,,218,309,218,4.85,54.5,109,218,109,54.5,54.5,109,0.46,,,,,,8cf34b35-2943-4e98-939c-c588e966b707,9/12/2019 22:54,richie@qcinc.org,9/12/2019 22:54,richie@qcinc.org
2,8f8b2374-3b09-4cdb-9580-ee9448510993,Pool,2,1,0.44,,10,,10,,90,50,30,10,10,,,,,,,,,,,,1.44,,,,,,8cf34b35-2943-4e98-939c-c588e966b707,9/12/2019 22:54,richie@qcinc.org,9/12/2019 22:54,richie@qcinc.org
3,2bc52684-5493-40f8-902a-ef3c17237c43,Rapid+,3,1,0.52,,,,,,100,20,20,20,40,,,,,,,,,,,,0.76,,,,,,8cf34b35-2943-4e98-939c-c588e966b707,9/12/2019 22:54,richie@qcinc.org,9/12/2019 22:54,richie@qcinc.org
4,1fab59ce-fe65-4fa7-8349-d47fa9691a79,Riffle,4,1,0.34,,,,,,100,,,,,437,154,154,218,154,109,54.5,218,437,109,19.3,0.46,,,,,,8cf34b35-2943-4e98-939c-c588e966b707,9/12/2019 22:54,richie@qcinc.org,9/12/2019 22:54,richie@qcinc.org
5,77f3991e-8534-4ba2-94f1-3fc9ab4646e3,Pool,5,1,0.44,,10,,,,90,30,20,30,20,,,,,,,,,,,,0.56,,,,,,8cf34b35-2943-4e98-939c-c588e966b707,9/12/2019 22:54,richie@qcinc.org,9/12/2019 22:54,richie@qcinc.org
6,eb48da14-83cd-4984-b947-30bd8347d04d,Riffle,6,1,0.46,,10,,,,90,,,,,309,109,437,218,109,154,218,77,309,109,109,0.46,,,,,,8cf34b35-2943-4e98-939c-c588e966b707,9/12/2019 22:54,richie@qcinc.org,9/12/2019 22:54,richie@qcinc.org
7,9afc4e37-ac8b-4e1c-88bc-1c1c11149a09,Run,7,1,0.36,,10,,,,90,20,30,40,10,,,,,,,,,,,,0.48,,,,,,8cf34b35-2943-4e98-939c-c588e966b707,9/12/2019 22:54,richie@qcinc.org,9/12/2019 22:54,richie@qcinc.org
8,3f0a0be2-40c3-46ad-b3f0-2f196d1da79e,Riffle,8,1,0.3,,,,,,100,,,,,109,54.5,109,109,154,154,54.5,109,218,109,109,0.34,,,,,,8cf34b35-2943-4e98-939c-c588e966b707,9/12/2019 22:54,richie@qcinc.org,9/12/2019 22:54,richie@qcinc.org
9,a7d47e0c-474f-417c-a0ed-f40e439ef67e,Run,9,1,0.25,,,,,,100,20,30,40,10,,,,,,,,,,,,0.46,,,,,,8cf34b35-2943-4e98-939c-c588e966b707,9/12/2019 22:54,richie@qcinc.org,9/12/2019 22:54,richie@qcinc.org
10,110cd368-0764-4cfb-b107-58b4f89f3399,Riffle,10,1,0.46,,,,,,100,,,,,109,154,437,77,154,54.5,309,109,19.3,109,154,0.48,,,,,,8cf34b35-2943-4e98-939c-c588e966b707,9/12/2019 22:54,richie@qcinc.org,9/12/2019 22:54,richie@qcinc.org
