ObjectID,GlobalID,Undercut Number,Location,Length (m),Width 25% (m),Width 50% (m),Width 75% (m),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,5d600fe3-6759-43e5-a2be-09da00149da2,1,Right_Bank,1.5,0.39,0.43,0.23,89c4f181-4432-41b4-bf0d-d9d4677413f9,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
2,37b1dc92-6291-4aa8-987a-29117c8f851b,2,Right_Bank,2,0.28,0.58,0.56,89c4f181-4432-41b4-bf0d-d9d4677413f9,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
3,5bd4cb2d-cb09-4d91-978b-26304b16f83c,1,Right_Bank,4.5,0.31,0.68,0.36,b6715799-754d-455a-b35c-5c002499225f,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
4,6b7ae3b2-3b01-4031-bac4-f7e5a285f886,1,,1.5,0.6,0.49,0.41,bd8f1dab-bf53-4deb-a897-0b7933d1be88,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
5,9e78b224-b955-4e27-9181-7781d706da6a,1,Left_Bank,1.6,0.45,0.54,0.75,e69469ad-a4a3-45a0-9e28-aad095d109ee,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
6,ca96aa01-d11b-419c-a617-3ccc310e1444,1,Left_Bank,4,0.29,0.33,0.68,a5f3344c-ef99-4141-b4a7-f4048e29f8e7,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
7,9c6a72d8-a4aa-4cbd-8d70-a28d842a586e,1,Right_Bank,3,0.43,0.66,0.59,cdc3b7cb-9895-4636-bd16-7c914c23b158,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
8,010a986b-9d3f-4876-9f8d-b313c3ddb614,1,Left_Bank,3.5,0.5,0.65,0.69,50e0e506-eab6-4d0f-9639-ca7e196bbf1e,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
9,9f7c21a8-1e68-487f-99a3-fa46d2d6ba01,1,Right_Bank,1.5,0.37,0.41,0.29,0b2bf3aa-dcfa-46c5-a08e-4ccff579cbc9,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
10,9ba77767-2a97-4202-afbb-25f016600778,1,Left_Bank,6,0.27,0.39,0.26,6788f83c-297e-4109-bb90-29dffb591b64,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
11,66a9109c-cbeb-4a06-8f3b-040d5d075db6,1,Right_Bank,1.25,0.24,0.34,0.32,01771eee-6705-4bad-a23c-3c2c53df6af9,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
12,d639b916-392e-4fd0-bdf9-c3c11e436ad7,1,Right_Bank,2,0.6,1,0.51,3b41cfd6-ec61-452f-9c11-fc0ca0bd7056,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
13,58345c72-3e9b-42f6-8a80-1d7d15ca1050,2,Right_Bank,3.2,0.72,0.68,0.41,3b41cfd6-ec61-452f-9c11-fc0ca0bd7056,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
14,b39aa91a-68fb-4ec5-a5a7-38201fb50d02,3,Right_Bank,4.25,0.5,0.59,0.42,3b41cfd6-ec61-452f-9c11-fc0ca0bd7056,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
15,838832a7-6a86-403a-8ab5-6a82c4648672,1,Right_Bank,1.5,0.2,0.26,0.37,0f9ed72f-f632-4cf9-a694-75622848a5a8,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
16,43996d95-147e-4515-b380-5e9bc8ebd145,1,Left_Bank,3.2,0.65,0.8,0.52,29431c4a-0664-421f-9328-49461e64fc40,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
17,c1d3f437-7b6a-481d-bc37-87eb06ae4929,1,Right_Bank,2.5,0.23,0.3,0.2,965888c4-96fd-487e-9293-eb194a81f005,9/11/2019 18:07,richie@qcinc.org,9/11/2019 18:07,richie@qcinc.org
18,24d78486-6a14-4b04-bc59-f4b3735f57d2,1,Right_Bank,3.25,0.58,0.48,0.26,0b83c058-4bd4-49a3-a149-a98b9b36906e,9/11/2019 21:43,richie@qcinc.org,9/11/2019 21:43,richie@qcinc.org
